discovered_at,platform,source,event_id,event_slug,event_title,market_id,market_slug,question,event_type,active,closed,accepting_orders,end_date,volume,volume_24hr,liquidity,open_interest,best_bid,best_ask,last_trade_price,outcome_prices,outcomes,url,matched_keywords,notes
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558942,will-italy-win-the-2026-fifa-world-cup-813,Will Italy win the 2026 FIFA World Cup?,champion_or_outright,True,True,False,2026-07-20T00:00:00Z,8666273.297316846,102072145.93810605,384505505.59206,29429961.422996998,,0.001,0.001,"[""0"", ""1""]","[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;fifa;world cup,
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558943,will-usa-win-the-2026-fifa-world-cup-467,Will USA win the 2026 FIFA World Cup?,champion_or_outright,True,False,True,2026-07-20T00:00:00Z,56382764.78298215,3580107.6553720073,5409261.05731,29429961.422996998,0.011,0.012,0.012,"[""0.0115"", ""0.9885""]","[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;fifa;usa;world cup,
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558952,will-canada-win-the-2026-fifa-world-cup-755,Will Canada win the 2026 FIFA World Cup?,champion_or_outright,True,False,True,2026-07-20T00:00:00Z,43986053.87035802,1970112.039631,7582081.18347,29429961.422996998,0.003,0.004,0.004,"[""0.0035"", ""0.9965""]","[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;canada;fifa;world cup,
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558985,will-turkiye-win-the-2026-fifa-world-cup,Will Turkiye win the 2026 FIFA World Cup?,champion_or_outright,True,False,True,2026-07-20T00:00:00Z,36771721.57500123,2028447.7757129997,2548263.98818,29429961.422996998,0.012,0.013,0.012,"[""0.0125"", ""0.9875""]","[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;fifa;turkiye;world cup,
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558944,will-uruguay-win-the-2026-fifa-world-cup-932,Will Uruguay win the 2026 FIFA World Cup?,champion_or_outright,True,False,True,2026-07-20T00:00:00Z,39325024.90819599,2185231.6299810032,9473895.27393,29429961.422996998,0.01,0.011,0.01,"[""0.0105"", ""0.9895""]","[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;fifa;uruguay;world cup,
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558988,will-team-ai-win-the-2026-fifa-world-cup,Will Team AI win the 2026 FIFA World Cup?,champion_or_outright,False,False,True,2026-07-20T00:00:00Z,0.0,0.0,0.0,29429961.422996998,0,1,0,,"[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;fifa;world cup,
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558945,will-mexico-win-the-2026-fifa-world-cup-529,Will Mexico win the 2026 FIFA World Cup?,champion_or_outright,True,False,True,2026-07-20T00:00:00Z,44073610.21104082,2236000.778972002,2342332.9563,29429961.422996998,0.013,0.014,0.014,"[""0.0135"", ""0.9865""]","[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;fifa;mexico;world cup,
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558956,will-paraguay-win-the-2026-fifa-world-cup-967,Will Paraguay win the 2026 FIFA World Cup?,champion_or_outright,True,False,True,2026-07-20T00:00:00Z,41941623.80983372,6614484.460998001,6071290.68404,29429961.422996998,0.001,0.002,0.002,"[""0.0015"", ""0.9985""]","[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;fifa;paraguay;world cup,
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558973,will-scotland-win-the-2026-fifa-world-cup,Will Scotland win the 2026 FIFA World Cup?,champion_or_outright,True,False,True,2026-07-20T00:00:00Z,42209402.601364546,2979113.8638169984,12726429.04016,29429961.422996998,0.002,0.003,0.002,"[""0.0025"", ""0.9975""]","[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;fifa;scotland;world cup,
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558948,will-peru-win-the-2026-fifa-world-cup-981,Will Peru win the 2026 FIFA World Cup?,champion_or_outright,True,True,False,2026-07-20T00:00:00Z,264589.508269,102072145.93810605,384505505.59206,29429961.422996998,,0.001,1,"[""0"", ""1""]","[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;fifa;world cup,
